"Qty";"Value";"Device";"Package";"Parts";"Description";"OC_MOUSER";"SPICEPREFIX";
"5";"";"1,6/0,8";"1,6/0,8";"GND, HEATER1, HEATER2, TC1, TC2";"THROUGH-HOLE PAD";"";"";
"2";"";"C-EUC0805";"C0805";"C2, C3";"CAPACITOR, European symbol";"";"C";
"1";"";"R-EU_R0805";"R0805";"R1";"RESISTOR, European symbol";"";"R";
"1";"100k";"R-EU_R0805";"R0805";"R5";"RESISTOR, European symbol";"";"R";
"1";"100n";"C-EUC0805";"C0805";"C1";"CAPACITOR, European symbol";"80-C0805C101J5RAUTO";"C";
"4";"1M";"R-EU_R0805";"R0805";"R8, R9, R12, R13";"RESISTOR, European symbol";"";"R";
"1";"1k";"R-EU_R0805";"R0805";"R6";"RESISTOR, European symbol";"";"R";
"1";"200k";"R-EU_R0805";"R0805";"R4";"RESISTOR, European symbol";"";"R";
"4";"2k";"R-EU_R0805";"R0805";"R7, R10, R11, R14";"RESISTOR, European symbol";"";"R";
"1";"330k @25°C, 1%, ß=3930";"NTC-0805";"R0805";"R2";"";"";"";
"1";"AD7995";"AD7995";"SOT23-8";"IC1";"";"";"";
"1";"AT24CS04-SOT23";"AT24CS04-SOT23";"SOT23-5L";"IC6";"";"";"";
"1";"ESDA6V1SC5";"ESDA6V1SC5";"SOT23-5L";"IC5";"";"";"";
"1";"MVS0608.02";"MVS0608.02";"VIBRA-SNS";"R3";"";"";"";
"2";"TS507CLT";"TS507CLT";"SOT23-5L";"IC2, IC3";"";"";"";
"6";"WIREPAD";"WIREPAD";"WIREPAD";"21, U$7, U$9, U$10, U$11, ß";"";"";"";
